1,氢,H,1.00794
2,氦,He,4.002602
3,锂,Li,6.941
4,铍,Be,9.012182
5,硼,B,10.811
6,碳,C,12.017
7,氮,N,14.0067
8,氧,O,15.9994
9,氟,F,18.9984032
10,氖,Ne,20.1797
11,钠,Na,22.98976928
12,镁,Mg,24.305
13,铝,Al,26.9815386
14,硅,Si,28.0855
15,磷,P,30.973762
16,硫,S,32.065
17,氯,Cl,35.453
18,氩,Ar,39.948
19,钾,K,39.0983
20,钙,Ca,40.078
21,钪,Sc,44.955912
22,钛,Ti,47.867
23,钒,V,50.9415
24,铬,Cr,51.9961
25,锰,Mn,54.938045
26,铁,Fe,55.845
27,钴,Co,58.933195
28,镍,Ni,58.6934
29,铜,Cu,63.546
30,锌,Zn,65.409
31,镓,Ga,69.723
32,锗,Ge,72.5
33,砷,As,74.9216
34,硒,Se,78.96
35,溴,Br,79.904
36,氪,Kr,83.798
37,铷,Rb,85.4678
38,锶,Sr,87.62
39,钇,Y,88.90585
40,锆,Zr,91.224
41,铌,Nb,92.90638
42,钼,Mo,95.94
43,锝,Tc,97.9072
44,钌,Ru,101.07
45,铑,Rh,102.9055
46,钯,Pd,106.42
47,银,Ag,107.8682
48,镉,Cd,112.411
49,铟,In,114.818
50,锡,Sn,118.71
51,锑,Sb,121.76
52,碲,Te,127.6
53,碘,I,126.90447
54,氙,Xe,131.293
55,铯,Cs,132.9054519
56,钡,Ba,137.327
57,镧,La,138.90547
58,铈,Ce,140.116
59,镨,Pr,140.90765
60,钕,Nd,144.242
61,钷,Pm,145
62,钐,Sm,150.36
63,铕,Eu,151.964
64,钆,Gd,157.25
65,铽,Tb,158.92535
66,镝,Dy,162.5
67,钬,Ho,164.93032
68,铒,Er,167.259
69,铥,Tm,168.93421
71,镥,Lu,174.967
72,铪,Hf,178.49
73,钽,Ta,180.94788
74,钨,W,183.84
75,铼,Re,186.207
76,锇,Os,190.23
77,铱,Ir,192.217
78,铂,Pt,195.084
79,金,Au,196.966569
80,汞,Hg,200.59
81,铊,Tl,204.3833
82,铅,Pb,207.2
83,铋,Bi,208.9804
84,钋,Po,208.9824
85,砹,At,209.9871
86,氡,Rn,222.0176
87,钫,Fr,223
88,镭,Ra,226
89,锕,Ac,227
90,钍,Th,232.03806
91,镤,Pa,231.03588
92,铀,U,238.02891
93,镎,Np,237
94,钚,Pu,244
95,镅,Am,243
96,锔,Cm,247
97,锫,Bk,247
98,锎,Cf,251
99,锿,Es,252
100,镄,Fm,257
101,钔,Md,258
102,锘,No,259
103,铹,Lr,262
